"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.pdf_url","Input.Category","Input.Description","Input.Positive_Example_1","Input.Positive_Example_2","Input.Positive_Example_3","Input.Negative_Example_1","Input.Negative_Example_2","Input.Negative_Example_3","Answer.question","Approve","Reject"
"35YHTYFL1IF0Y6C42AFJ4HQRDUCVFL","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:45 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:45 PDT 2023","","","351SEKWQS3TNXJ2TNEO4H5ZKT66DM5","A1GGOZPHYU0OC0","Approved","Tue Jun 13 18:33:10 PDT 2023","Tue Jun 13 18:36:13 PDT 2023","Fri Jun 16 18:36:13 PDT 2023","Wed Jun 14 08:12:10 PDT 2023","","","183","100% (72/72)","100% (63/63)","100% (63/63)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask a question about a figure in the document.","A good question refers to a figure number or page in the document.","What is the main takeaway of Figure 4?","What is the largest value in Figure 4?","What kind of graph is used on page 5?","What is the main takeaway of the second graph? (missing reference to page or figure number)","","","N/A - no figures"
"3Y40HMYLL3UHLDEPXEB0E2OF3SZXUP","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:45 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:45 PDT 2023","","","340UGXU9D1DS487ON1FKE1ML6ZDUVD","A1GGOZPHYU0OC0","Approved","Tue Jun 13 18:43:17 PDT 2023","Tue Jun 13 18:50:02 PDT 2023","Fri Jun 16 18:50:02 PDT 2023","Wed Jun 14 08:12:10 PDT 2023","","","405","100% (72/72)","100% (63/63)","100% (63/63)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask a question about the document.","A good question can be fully answered by the information in the document and is not self-evident (not able to be verified with a quick scan).","Is 2pm on Wednesday free?","What evidence is used to support the author's conclusion in section #8?","","What is the title of subsection #4? (too easy to answer)","","","Is the filename required for the output file path?"
"31HLTCK4BN76C68ZDUL1M2Q3E9CVGK","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:45 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:45 PDT 2023","","","3I02618YA3IFZOAS1P6L89X3KBCUPS","A1GGOZPHYU0OC0","Approved","Tue Jun 13 18:40:20 PDT 2023","Tue Jun 13 18:44:37 PDT 2023","Fri Jun 16 18:44:37 PDT 2023","Wed Jun 14 08:12:10 PDT 2023","","","257","100% (72/72)","100% (63/63)","100% (63/63)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask a question about a table in the document.","A good question can use multiple cells, rows, columns, or tables.","Can you convert the minutes column in Table 2 to hours?","What row has the maximum value of the ""Accuracy"" column?","","What value is in the third column, fourth row? (too easy to answer)","","","N/A - no tables"
"31YWE12TE2OFN22TK6IP4AAVVH27XX","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:46 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:46 PDT 2023","","","3X66WABAJZUPNH4AJMKXRRTB675G32","A1GGOZPHYU0OC0","Approved","Tue Jun 13 18:43:16 PDT 2023","Tue Jun 13 18:49:46 PDT 2023","Fri Jun 16 18:49:46 PDT 2023","Wed Jun 14 08:12:10 PDT 2023","","","390","100% (72/72)","100% (63/63)","100% (63/63)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask a question about the structure of the document.","A good question references parts of the document by name, number, or page, and asks about content in those parts.","What is the main takeaway from section 5?","What counterexamples are provided in paragraph 3, section #1?","","How many sections are there in the document? (too easy to answer)","What is the title of the document? (too easy to answer)","","What buttons are listed on page 2?"
"3S37Y8CWIAC3FFFK83OWZFCEVD64WH","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:46 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:46 PDT 2023","","","3A1PQ49WVKT7DAL6GOOWOYQFNN41HU","A1GGOZPHYU0OC0","Approved","Tue Jun 13 18:33:12 PDT 2023","Tue Jun 13 18:37:34 PDT 2023","Fri Jun 16 18:37:34 PDT 2023","Wed Jun 14 08:12:10 PDT 2023","","","262","100% (72/72)","100% (63/63)","100% (63/63)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask for a summary of parts of the document or the full document.","A good summarization task specifies the content to summarize and summary type (e.g., length, style)","Can you provide a concise summary of section 2?","Write a detailed summary about the main takeaways of the paper.","","What is a summary of the document? (does not specify summary length)","","","Can you provide a short summary of what all the buttons do?"
"337F8MIIM1PA7PEZFWVBSK3AU8R04B","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:46 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:46 PDT 2023","","","3B3WTRP3DEELNPLJ1G0IG02WWGA92T","A1GGOZPHYU0OC0","Approved","Tue Jun 13 18:33:12 PDT 2023","Tue Jun 13 18:36:58 PDT 2023","Fri Jun 16 18:36:58 PDT 2023","Wed Jun 14 08:12:10 PDT 2023","","","226","100% (72/72)","100% (63/63)","100% (63/63)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask for specific content to be extracted from the document.","A good extraction task asks to find content that's answerable with one or more highlights in the document.","Find all the councilmembers mentioned in this document.","What are the three central claims of the author?","What are the main findings?","""How many times does the author mention the title character?"" (not relevant question)","Write a short summary. (does not specify summary content)","","Name all buttons"
"31ODACBENWRHX3L9MVL85TAYLSRSQ7","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:46 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:46 PDT 2023","","","3QY5DC2MXUW38BLYNMAGWFJZI5PUFP","A1GGOZPHYU0OC0","Approved","Tue Jun 13 18:38:48 PDT 2023","Tue Jun 13 18:43:50 PDT 2023","Fri Jun 16 18:43:50 PDT 2023","Wed Jun 14 08:12:11 PDT 2023","","","302","100% (72/72)","100% (63/63)","100% (63/63)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask for a rewrite of some text in the document.","Copy some text from the document and ask for it to be rewritten in a certain way,or with a certain style.
 
A good task contains the text to be rewritten, and a description of how it should be rewritten.","Can you rewrite this in more modern language: ""The thousand injuries of Fortunato I had borne as best I could. But when he ventured upon insult, I vowed revenge.""","Can you simplify this: ""In mice, immunoregulatory APCs express the dendritic  cell (DC) marker CD11c, and one or more distinctive  markers (CD8, B220, DX5).""","","Remove all typos. (too broad, does not refer to specific text)","","","Can you rewrite this sentence in the style of Bill Cosby: ""Select to create an on-screen preview of report the system task will generate."""
"3JGHED38EF34N7S3P24RNOH4XNW7Y3","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:46 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:46 PDT 2023","","","3L70J4KAZJYMVIT4QBYZ8E4KZPGDAK","A1GGOZPHYU0OC0","Approved","Tue Jun 13 18:29:26 PDT 2023","Tue Jun 13 18:32:48 PDT 2023","Fri Jun 16 18:32:48 PDT 2023","Wed Jun 14 08:12:11 PDT 2023","","","202","100% (72/72)","100% (63/63)","100% (63/63)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask a question that can’t be answered with just the document.","A good question is related to the document, but the answer isn't found in the document.","What other books were written by the novelist author?","Besides the theory discussed in this document, what other scientific theories explain the given phenomena?","Can you explain the term ""mitochondria""?","Questions that are unrelated to the document's content","","","When was ECC online help site launched?"
"39O6Z4JLX49HYS3P24L5AOQYHZ8XVE","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:46 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:46 PDT 2023","","","36H9ULYP656UUVA4BN62PDAO1L0FJF","A3UUH3632AI3ZX","Approved","Tue Jun 13 14:07:22 PDT 2023","Tue Jun 13 14:08:39 PDT 2023","Fri Jun 16 14:08:39 PDT 2023","Tue Jun 13 14:16:33 PDT 2023","","","77","100% (39/39)","100% (39/39)","100% (39/39)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask a question that needs multiple parts of the document to answer.","A good question references sections or pages across different pages or different page numbers.","Do the results in the conclusions support the claims in the abstract?","","","Any task that is answerable in one place in the document, or not answerable at all.","","","How many sections are there in the table of system tasks?"
"382GHPVPHU36OHDWYJDUUI1HXKB349","3FWHJCYVLHV1ZV8ST2GPUZCRACHSRJ","Brainstorm a Task for a Document","Given a PDF and a type of task, brainstorm a new task for that document.","document, brainstorming, questions","$0.50","Tue Jun 13 14:05:46 PDT 2023","1","BatchId:5090947;OriginalHitTemplateId:928390860;","1800","259200","Tue Jun 20 14:05:46 PDT 2023","","","3A0EX8ZRNB0UC3TNSLL9GAYRZV8BYM","A1NF6PELRKACS9","Approved","Tue Jun 13 18:35:24 PDT 2023","Tue Jun 13 18:55:39 PDT 2023","Fri Jun 16 18:55:39 PDT 2023","Wed Jun 14 08:12:11 PDT 2023","","","1215","100% (3835/3836)","100% (49/49)","100% (49/49)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask about the type of the document.","A good question asks whether a document falls into one or more categories, which are relevant to the document.","Is this document a scientific article?","Is this document about a residential lease or a commercial lease?","","What is this document? (too broad/general)","","","Is this document a software article?"
