"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.pdf_url","Input.Category","Input.Description","Input.Positive_Example_1","Input.Positive_Example_2","Input.Positive_Example_3","Input.Negative_Example_1","Input.Negative_Example_2","Input.Negative_Example_3","Answer.question","Approve","Reject"
"3J9UN9O9J540A7XKI3IFYMSTC5I0J3","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:51:55 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:51:55 PDT 2023","","","32UTUBMZ7J8D89YINAYP9BUXHB4BV5","AURYD2FH3FUOQ","Approved","Tue Jun 13 15:45:57 PDT 2023","Tue Jun 13 16:23:22 PDT 2023","Fri Jun 16 16:23:22 PDT 2023","Wed Jun 14 06:25:42 PDT 2023","","","2245","100% (27/27)","100% (27/27)","100% (27/27)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--269967308.pdf","Ask a question that needs multiple parts of the document to answer.","A good question references sections or pages across different pages or different page numbers.","Do the results in the conclusions support the claims in the abstract?","","","Any task that is answerable in one place in the document, or not answerable at all.","","","When making Broccoli Raab with Caramelized Onion, when is the garlic added?"
"3D1UCPY6GIL77I0YAM37BUHMZ6883M","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:51:55 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:51:55 PDT 2023","","","3VW04L3ZLWICP16ESLRPMTIAGPHXXK","A2WQT33K6LD9Z5","Approved","Tue Jun 13 15:25:11 PDT 2023","Tue Jun 13 16:13:14 PDT 2023","Fri Jun 16 16:13:14 PDT 2023","Wed Jun 14 06:25:42 PDT 2023","","","2883","100% (46/46)","100% (46/46)","100% (46/46)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--269967308.pdf","Ask about the type of the document.","A good question asks whether a document falls into one or more categories, which are relevant to the document.","Is this document a scientific article?","Is this document about a residential lease or a commercial lease?","","What is this document? (too broad/general)","","","Does this document fall under the category of science as well as basic gardening/farming or is it just a farming/gerdening article?"
"31HLTCK4BN76C68ZDUL1M2Q3E9DVGL","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:51:55 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:51:55 PDT 2023","","","3IGI0VL64AWKJYEIPOHK5E0J27LNO4","AURYD2FH3FUOQ","Approved","Tue Jun 13 15:46:00 PDT 2023","Tue Jun 13 16:29:36 PDT 2023","Fri Jun 16 16:29:36 PDT 2023","Wed Jun 14 06:25:42 PDT 2023","","","2616","100% (27/27)","100% (27/27)","100% (27/27)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--269967308.pdf","Ask a question that is not answerable with the document.","A good question might:(a) be related to the document
(b) refer to non-existent tables, figures, or sections
(c) not have enough information to answer it
(d) not be related to the document at all","","","","","","","How much rain was received just over a week ago?"
"3HA5ODM5KC492BHQ8UFIBG962K7VS5","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:52:00 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:52:00 PDT 2023","","","3570Y55XZSVQ3K1Y87DNHLPOF5FGYH","A38DC3BG1ZCVZ2","Approved","Tue Jun 13 15:14:50 PDT 2023","Tue Jun 13 15:15:12 PDT 2023","Fri Jun 16 15:15:12 PDT 2023","Wed Jun 14 06:25:14 PDT 2023","","","22","100% (243/243)","100% (126/126)","100% (126/126)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--228740874.pdf","Ask for a summary of parts of the document or the full document.","A good summarization task specifies the content to summarize and summary type (e.g., length, style)","Can you provide a concise summary of section 2?","Write a detailed summary about the main takeaways of the paper.","","What is a summary of the document? (does not specify summary length)","","","Summarize the document in ten sentences or less."
"3J94SKDEKK1M2SJT5D2GCJT7OTWD5N","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:51:55 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:51:55 PDT 2023","","","338JKRMM29B37YY6C7HPZZJIREPAH0","A3UUH3632AI3ZX","Approved","Tue Jun 13 15:03:45 PDT 2023","Tue Jun 13 15:05:07 PDT 2023","Fri Jun 16 15:05:07 PDT 2023","Wed Jun 14 06:25:42 PDT 2023","","","82","100% (39/39)","100% (39/39)","100% (39/39)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf","Ask a question about a figure in the document.","A good question refers to a figure number or page in the document.","What is the main takeaway of Figure 4?","What is the largest value in Figure 4?","What kind of graph is used on page 5?","What is the main takeaway of the second graph? (missing reference to page or figure number)","","","Is the current balance of the financial report easily distinguishable?"
"39XCQ6V3K0GNHJ4EVQU26DJF77965O","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:52:01 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:52:01 PDT 2023","","","39O5D9O87W4C65O5H0OE108W8D73C5","A34QZDSTKZ3JO9","Approved","Tue Jun 13 16:17:49 PDT 2023","Tue Jun 13 16:18:51 PDT 2023","Fri Jun 16 16:18:51 PDT 2023","Wed Jun 14 06:25:14 PDT 2023","","","62","100% (167/167)","100% (167/167)","100% (167/167)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--191156062.pdf","Ask for a rewrite of some text in the document.","Copy some text from the document and ask for it to be rewritten in a certain way,or with a certain style.
 
A good task contains the text to be rewritten, and a description of how it should be rewritten.","Can you rewrite this in more modern language: ""The thousand injuries of Fortunato I had borne as best I could. But when he ventured upon insult, I vowed revenge.""","Can you simplify this: ""In mice, immunoregulatory APCs express the dendritic  cell (DC) marker CD11c, and one or more distinctive  markers (CD8, B220, DX5).""","","Remove all typos. (too broad, does not refer to specific text)","","","Can you rewrite this in an easier to understand language:  From the MATLAB Command Window, execute the MATLAB statements in Figure 1 paying attention to the variables and their values in the MATLAB Workspace window."
"3YGE63DINA9MGRXJP21UNCM1E1R0WY","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:52:01 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:52:01 PDT 2023","","","3L0KT67Y8HSTTPAP37746Z8R3HMSYS","A34QZDSTKZ3JO9","Approved","Tue Jun 13 16:17:02 PDT 2023","Tue Jun 13 16:17:44 PDT 2023","Fri Jun 16 16:17:44 PDT 2023","Wed Jun 14 06:24:45 PDT 2023","","","42","100% (167/167)","100% (167/167)","100% (167/167)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf","Ask a question about a figure in the document.","A good question refers to a figure number or page in the document.","What is the main takeaway of Figure 4?","What is the largest value in Figure 4?","What kind of graph is used on page 5?","What is the main takeaway of the second graph? (missing reference to page or figure number)","","","What are the buttons show on the bottom of page 2 used for?"
"3CKVGCS3PIHT9AGA5XRTQNJG8OV0SJ","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:52:00 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:52:00 PDT 2023","","","3YGXWBAF73TXO179HETXB502MCOC4I","A320QA9HJFUOZO","Approved","Tue Jun 13 15:15:30 PDT 2023","Tue Jun 13 15:53:01 PDT 2023","Fri Jun 16 15:53:01 PDT 2023","Wed Jun 14 06:25:14 PDT 2023","","","2251","100% (54/54)","100% (53/53)","100% (53/53)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--228740874.pdf","Ask for specific content to be extracted from the document.","A good extraction task asks to find content that's answerable with one or more highlights in the document.","Find all the councilmembers mentioned in this document.","What are the three central claims of the author?","What are the main findings?","""How many times does the author mention the title character?"" (not relevant question)","Write a short summary. (does not specify summary content)","","Which specific bible verses are cited in the document?"
"3MGHRFQY2N1Q5WSJ43JI897HP9QY0U","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:51:55 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:51:55 PDT 2023","","","3TEM0PF1Q89QU5VMY916J8S7Q310DD","A1MJVTR0PCKBWW","Approved","Tue Jun 13 17:29:17 PDT 2023","Tue Jun 13 17:30:28 PDT 2023","Fri Jun 16 17:30:28 PDT 2023","Wed Jun 14 06:25:42 PDT 2023","","","71","100% (700/700)","100% (22/22)","100% (22/22)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf","Ask a question about the document.","A good question can be fully answered by the information in the document and is not self-evident (not able to be verified with a quick scan).","Is 2pm on Wednesday free?","What evidence is used to support the author's conclusion in section #8?","","What is the title of subsection #4? (too easy to answer)","","","How many basement posts have been replaced according to deNeui?"
"31GECDVA9LYJ0N4S0947YJXF32K664","36L9PLEPXSWHXGE2UF52HI5D6VK2M3","Come up with a question for a document","Given a question, brainstorm a question to ask","document, brainstorming, questions","$0.75","Tue Jun 13 14:52:01 PDT 2023","1","BatchId:5091018;OriginalHitTemplateId:928390860;","3600","259200","Tue Jun 20 14:52:01 PDT 2023","","","3IKZ72A5B7SQDL1PQLYUIKR5A7OFN6","A2TBXASXZIRNNW","Approved","Tue Jun 13 16:16:38 PDT 2023","Tue Jun 13 16:20:50 PDT 2023","Fri Jun 16 16:20:50 PDT 2023","Wed Jun 14 06:25:14 PDT 2023","","","252","100% (255/255)","100% (141/141)","100% (141/141)","https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--191156062.pdf","Ask a question that can’t be answered with just the document.","A good question is related to the document, but the answer isn't found in the document.","What other books were written by the novelist author?","Besides the theory discussed in this document, what other scientific theories explain the given phenomena?","Can you explain the term ""mitochondria""?","Questions that are unrelated to the document's content","","","Who was the founder of Armstrong State University?"
